iter	Passed	Remaining
416	3819	696
417	3829	687
418	3840	678
419	3850	669
420	3859	660
421	3868	650
422	3879	642
423	3889	632
424	3898	623
425	3906	614
426	3914	605
427	3922	595
428	3932	586
429	3941	577
430	3950	568
431	3958	559
432	3968	549
433	3977	540
434	3986	531
435	3995	522
436	4004	513
437	4013	503
438	4023	494
439	4031	485
440	4041	476
441	4050	467
442	4059	458
443	4069	449
444	4077	439
445	4086	430
446	4095	421
447	4104	412
448	4113	403
449	4122	393
450	4132	384
451	4140	375
452	4150	366
453	4160	357
454	4169	348
455	4178	339
456	4188	329
457	4196	320
458	4205	311
459	4215	302
460	4223	293
461	4232	283
462	4242	274
463	4252	265
464	4260	256
465	4270	247
466	4280	238
467	4288	229
468	4297	219
469	4308	210
470	4316	201
471	4325	192
472	4335	183
473	4344	174
474	4353	164
475	4361	155
476	4371	146
477	4382	137
478	4391	128
479	4401	119
480	4410	110
481	4419	100
482	4428	91
483	4438	82
484	4447	73
485	4456	64
486	4466	55
487	4475	45
488	4485	36
489	4495	27
490	4504	18
491	4512	9
492	4522	0
