iter	RMSE
252	8085.152027
253	8082.703681
254	8078.92838
255	8075.455293
256	8070.463581
257	8067.904819
258	8063.164462
259	8059.424324
260	8056.175252
261	8053.077737
262	8050.125238
263	8048.158675
264	8046.027144
265	8044.409281
266	8039.616275
267	8036.418022
268	8033.532125
269	8029.75121
270	8026.241712
271	8023.871805
272	8022.384856
273	8019.262286
274	8015.293858
275	8012.706717
276	8009.526579
277	8007.073767
278	8005.060331
279	8001.513536
280	7998.456004
281	7994.119866
282	7991.794425
283	7989.095287
284	7986.829067
285	7983.787863
286	7981.042214
287	7977.094419
288	7975.563206
289	7972.807685
290	7970.647907
291	7967.910098
292	7964.96419
293	7962.637792
294	7961.008584
295	7958.752106
296	7957.396722
297	7955.555163
298	7952.43344
299	7950.437831
300	7947.83191
301	7946.095939
302	7942.373452
303	7938.994633
304	7936.654393
305	7932.448495
306	7928.690811
307	7925.753471
308	7923.402651
309	7920.917704
310	7919.009121
311	7915.819127
312	7913.057892
313	7909.634392
314	7906.680674
315	7904.895492
316	7898.985287
317	7895.361698
318	7892.216126
319	7891.164635
320	7886.483509
321	7883.601555
322	7881.634693
323	7880.148237
324	7878.601052
325	7876.447236
326	7874.192543
327	7872.667523
328	7870.529757
329	7868.365591
330	7866.18779
331	7864.409016
332	7861.096722
333	7857.990638
334	7855.037182
335	7852.710764
336	7848.098889
337	7844.952166
338	7842.53588
339	7841.03246
340	7838.451525
341	7837.065926
342	7834.304766
343	7831.694361
344	7829.683956
345	7827.813071
346	7826.590519
347	7823.836006
348	7820.945201
349	7818.62348
350	7817.343192
351	7815.292491
352	7812.758559
353	7810.615445
354	7808.840597
355	7807.016889
356	7805.547695
357	7803.24307
358	7800.556671
359	7797.626963
360	7796.561369
361	7794.426554
362	7791.527436
363	7790.318963
364	7786.936362
365	7785.615278
366	7783.152866
367	7781.112729
368	7779.123802
369	7777.405134
370	7775.864635
371	7774.297509
372	7771.453984
373	7769.225639
374	7766.998526
375	7765.628294
376	7764.292776
377	7761.965647
378	7760.92833
379	7759.244899
380	7757.136382
381	7755.871119
382	7753.094134
383	7750.159096
384	7747.495945
385	7745.210956
386	7743.026454
387	7740.474771
388	7738.503905
389	7735.916296
390	7734.671721
391	7732.117028
392	7730.267438
393	7728.86195
394	7726.988189
395	7725.401286
396	7723.989797
397	7722.123677
398	7720.625635
399	7718.66437
400	7716.813443
401	7714.283802
402	7712.797564
403	7711.91307
404	7709.499344
405	7708.179672
406	7706.869304
407	7705.147091
408	7703.36549
409	7701.858081
410	7700.906031
411	7699.272701
412	7698.043178
413	7695.754207
414	7694.706001
415	7693.072534
416	7692.096632
417	7690.18018
418	7687.80434
419	7686.588991
420	7685.318455
421	7683.831355
422	7681.737044
423	7680.834969
424	7678.746792
425	7677.498615
426	7676.209287
427	7675.172944
428	7674.21145
429	7672.997449
430	7672.160535
431	7670.999022
432	7669.812326
433	7668.377685
434	7667.099757
435	7665.510917
436	7664.142067
437	7663.212277
438	7662.211369
439	7661.176388
440	7659.792041
441	7658.555538
442	7656.802176
443	7655.706151
444	7654.486116
445	7653.32947
446	7652.622719
447	7651.060417
448	7649.187691
449	7647.253104
450	7646.143755
451	7645.145635
452	7644.012961
453	7642.853669
454	7641.839958
455	7640.609592
456	7639.303854
457	7638.210525
458	7637.164464
459	7636.026747
460	7634.696399
461	7633.159723
462	7631.777368
463	7630.74748
464	7629.64015
465	7627.76438
466	7626.506173
467	7624.596099
468	7622.732347
469	7620.590148
470	7619.924245
471	7618.918079
472	7617.799162
473	7616.903851
474	7616.105927
475	7614.890681
476	7613.617768
477	7613.031362
478	7611.771368
479	7610.699412
480	7609.558994
481	7608.875726
482	7608.133088
483	7607.338
484	7606.126065
485	7604.994122
486	7603.57091
487	7602.881784
488	7601.934588
489	7600.501362
490	7599.696649
491	7598.483922
492	7597.526385
