iter	Passed	Remaining
0	112	11171
1	153	7508
2	202	6541
3	252	6070
4	310	5895
5	349	5469
6	386	5131
7	419	4829
8	458	4638
9	509	4588
10	547	4432
11	583	4281
12	619	4146
13	659	4050
14	699	3962
15	735	3861
16	775	3785
17	817	3723
18	862	3678
19	900	3600
20	935	3518
21	970	3439
22	1004	3364
23	1039	3290
24	1070	3212
25	1108	3155
26	1136	3071
27	1163	2992
28	1195	2927
29	1223	2854
30	1252	2787
31	1284	2729
32	1314	2669
33	1342	2605
34	1372	2548
35	1400	2489
36	1434	2442
37	1467	2394
38	1499	2345
39	1531	2297
40	1567	2255
41	1597	2206
42	1625	2155
43	1653	2104
44	1683	2057
45	1714	2012
46	1738	1960
47	1762	1909
48	1786	1859
49	1809	1809
50	1833	1761
51	1858	1715
52	1880	1667
53	1906	1623
54	1930	1579
55	1954	1535
56	1978	1492
57	2004	1451
58	2028	1409
59	2050	1367
60	2077	1328
61	2104	1289
62	2127	1249
63	2150	1209
64	2171	1169
65	2195	1131
66	2219	1093
67	2242	1055
68	2266	1018
69	2289	981
70	2313	944
71	2335	908
72	2359	872
73	2381	836
74	2403	801
75	2430	767
76	2453	732
77	2477	698
78	2498	664
79	2521	630
80	2544	596
81	2567	563
82	2590	530
83	2614	497
84	2636	465
85	2660	433
86	2684	401
87	2707	369
88	2728	337
89	2750	305
90	2771	274
91	2793	242
92	2817	212
93	2838	181
94	2860	150
95	2881	120
96	2903	89
97	2927	59
98	2948	29
99	2972	0
